StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
23/03/2021 11:05,23/03/2021 11:15,100,583,TRUE,23/03/2021 11:15,R_27pVBUzkH3bIpVv,anonymous,EN,62,A,A,B,C,B,C,A,C,A,D
23/03/2021 11:05,23/03/2021 11:14,100,594,TRUE,23/03/2021 11:15,R_1eDHDtykHwapnAA,anonymous,EN,61,D,A,B,B,D,A,C,D,A,C
23/03/2021 11:05,23/03/2021 11:15,100,549,TRUE,23/03/2021 11:15,R_bBguV8cV3yqI40x,anonymous,EN,78,C,A,C,A,A,D,A,D,D,A
23/03/2021 11:05,23/03/2021 11:15,100,592,TRUE,23/03/2021 11:15,R_1I6lrghXhapIg4W,anonymous,EN,76,C,A,B,B,B,B,D,A,C,D
23/03/2021 11:05,23/03/2021 11:15,100,594,TRUE,23/03/2021 11:15,R_3PgDt3lYaEcjold,anonymous,EN,90,B,A,A,A,A,A,A,C,D,D
23/03/2021 11:05,23/03/2021 11:15,100,564,TRUE,23/03/2021 11:15,R_1NfzmC3NLAkaWZn,anonymous,EN,91,D,D,A,D,D,B,D,A,A,A
23/03/2021 11:05,23/03/2021 11:15,100,597,TRUE,23/03/2021 11:15,R_7Pt8VtMlL8PHQqZ,anonymous,EN,74,D,C,C,D,A,D,A,C,B,A
23/03/2021 11:05,23/03/2021 11:15,100,590,TRUE,23/03/2021 11:15,R_26nGXU4qWb86CkO,anonymous,EN,56,D,A,D,D,C,C,C,B,A,C
23/03/2021 11:05,23/03/2021 11:15,100,585,TRUE,23/03/2021 11:15,R_3njb7gBgX45nfR7,anonymous,EN,77,,B,C,A,C,B,C,D,C,D
23/03/2021 11:05,23/03/2021 11:15,100,598,TRUE,23/03/2021 11:15,R_3ni9GNHecDybYgE,anonymous,EN,48,A,B,B,B,B,B,C,B,C,A
23/03/2021 11:06,23/03/2021 11:15,100,544,TRUE,23/03/2021 11:15,R_2zw1cFXw2mlgO38,anonymous,EN,66,D,C,B,A,D,D,C,B,A,A
23/03/2021 11:05,23/03/2021 11:15,100,604,TRUE,23/03/2021 11:15,R_Pv7rcZ6u8yDC4ql,anonymous,EN,65,D,A,A,D,B,C,D,D,,D
23/03/2021 11:05,23/03/2021 11:15,100,587,TRUE,23/03/2021 11:15,R_1jYUq1RxodX1aYs,anonymous,EN,87,A,A,A,B,D,A,A,A,A,D
23/03/2021 11:05,23/03/2021 11:15,100,601,TRUE,23/03/2021 11:15,R_2zGSMi9Ln6McStZ,anonymous,EN,53,D,B,C,B,A,A,C,B,B,A
23/03/2021 11:05,23/03/2021 11:15,100,598,TRUE,23/03/2021 11:15,R_1pKXhNAEJM2U3rT,anonymous,EN,84,A,A,A,D,B,A,A,A,D,B
23/03/2021 11:05,23/03/2021 11:15,100,589,TRUE,23/03/2021 11:15,R_1oI2jKb8c41Jut0,anonymous,EN,39,A,D,C,B,C,D,C,C,D,D
23/03/2021 11:05,23/03/2021 11:15,100,609,TRUE,23/03/2021 11:15,R_snuLuEbsnyXOZVf,anonymous,EN,57,C,C,C,B,A,B,A,C,A,B
23/03/2021 11:05,23/03/2021 11:15,100,579,TRUE,23/03/2021 11:15,R_1Ka2pR1ENDm6Mx6,anonymous,EN,80,A,A,A,B,C,A,A,B,A,B
23/03/2021 11:15,23/03/2021 11:16,100,24,TRUE,23/03/2021 11:16,R_x5ftM3ojUUagjex,anonymous,EN,85,C,C,A,A,B,A,A,C,A,C
